Fertilizer,Year,Amount (mt)
Cocoa Fertilizer,2002,NA
Muriate of Potash,2002,18484
Nitrate,2002,NA
NPK,2002,800
Others,2002,901
Potassium Sulphate,2002,NA
SSP_and_TSP,2002,1656
Sulphate of Ammonia,2002,20047
Urea,2002,NA
Cocoa Fertilizer,2003,19500
Muriate of Potash,2003,23440
Nitrate,2003,7.35
NPK,2003,18890
Others,2003,4027
Potassium Sulphate,2003,NA
SSP_and_TSP,2003,NA
Sulphate of Ammonia,2003,25715
Urea,2003,500
Cocoa Fertilizer,2004,25e3
Muriate of Potash,2004,822
Nitrate,2004,95312
NPK,2004,18223
Others,2004,2588
Potassium Sulphate,2004,72e3
SSP_and_TSP,2004,1850
Sulphate of Ammonia,2004,7688
Urea,2004,250
Cocoa Fertilizer,2005,12e3
Muriate of Potash,2005,1e3
Nitrate,2005,157
NPK,2005,38978
Others,2005,18496
Potassium Sulphate,2005,135
SSP_and_TSP,2005,1e3
Sulphate of Ammonia,2005,15e3
Urea,2005,4540
Cocoa Fertilizer,2006,NA
Muriate of Potash,2006,19
Nitrate,2006,52601
NPK,2006,84907
Others,2006,23988
Potassium Sulphate,2006,103
SSP_and_TSP,2006,99
Sulphate of Ammonia,2006,19090
Urea,2006,9072
Cocoa Fertilizer,2007,NA
Muriate of Potash,2007,109
Nitrate,2007,52823
NPK,2007,87388
Others,2007,26029
Potassium Sulphate,2007,321
SSP_and_TSP,2007,504
Sulphate of Ammonia,2007,17458
Urea,2007,4962
Cocoa Fertilizer,2008,NA
Muriate of Potash,2008,8853
Nitrate,2008,64085
NPK,2008,18873
Others,2008,61463
Potassium Sulphate,2008,371
SSP_and_TSP,2008,15440
Sulphate of Ammonia,2008,4172
Urea,2008,13773
Cocoa Fertilizer,2009,NA
Muriate of Potash,2009,15007
Nitrate,2009,110
NPK,2009,197631
Others,2009,26293
Potassium Sulphate,2009,NA
SSP_and_TSP,2009,66501
Sulphate of Ammonia,2009,4616
Urea,2009,25028
Cocoa Fertilizer,2010,NA
Muriate of Potash,2010,16079
Nitrate,2010,236547
NPK,2010,30560
Others,2010,130314
Potassium Sulphate,2010,NA
SSP_and_TSP,2010,52117
Sulphate of Ammonia,2010,12077
Urea,2010,11251
Cocoa Fertilizer,2011,24192
Muriate of Potash,2011,10387
Nitrate,2011,75929
NPK,2011,139128
Others,2011,50779
Potassium Sulphate,2011,1004
SSP_and_TSP,2011,72976
Sulphate of Ammonia,2011,46222
Urea,2011,12363
Cocoa Fertilizer,2012,NA
Muriate of Potash,2012,43384
Nitrate,2012,267
NPK,2012,2923304
Others,2012,201432
Potassium Sulphate,2012,NA
SSP_and_TSP,2012,78355
Sulphate of Ammonia,2012,83840
Urea,2012,31950
